sample_name          ,fewshot_original ,fewshot_reversed ,zeroshot_original ,zeroshot_reversed
essay77.docx         ,               3 ,               6 ,                6 ,                8
essay78.docx         ,               3 ,               4 ,                6 ,                5
essay79.docx         ,               9 ,               9 ,                9 ,                9
essay8.docx          ,               2 ,               3 ,                2 ,                3
essay80.docx         ,               8 ,               9 ,                8 ,                8
essay81.docx         ,               7 ,               7 ,                8 ,                5
essay82.docx         ,               7 ,               8 ,                6 ,                8
essay83.docx         ,               7 ,               6 ,                5 ,                4
essay84.docx         ,               4 ,               7 ,                7 ,                8
essay85.docx         ,               1 ,               2 ,                2 ,                2
essay86.docx         ,               1 ,               2 ,                2 ,                2
essay87.docx         ,               1 ,               2 ,                2 ,                1
essay88.docx         ,               2 ,               2 ,                3 ,                3
essay89.docx         ,               2 ,               3 ,                3 ,                2
essay9.docx          ,               2 ,               3 ,                4 ,                5
essay90.docx         ,               5 ,               4 ,                4 ,                5
essay91.docx         ,               2 ,               2 ,                5 ,                5
essay92.docx         ,               3 ,               3 ,                5 ,                5
essay93.docx         ,               2 ,               2 ,                4 ,                6
essay94.docx         ,               6 ,               4 ,                7 ,                6
essay95.docx         ,               5 ,               4 ,                6 ,                7
essay96.docx         ,               6 ,               5 ,                5 ,                5
essay97.docx         ,               5 ,               4 ,                5 ,                5
essay98.docx         ,               4 ,               4 ,                4 ,                5
essay99.docx         ,               4 ,               4 ,                6 ,                5
researchpaper0.docx  ,              10 ,              10 ,                8 ,                9
researchpaper1.docx  ,              10 ,               9 ,                8 ,                9
researchpaper10.docx ,               9 ,              10 ,                9 ,                9
researchpaper11.docx ,              10 ,              10 ,                9 ,                9
researchpaper12.docx ,              10 ,              10 ,               10 ,                9
researchpaper13.docx ,              10 ,              10 ,                7 ,                9
researchpaper14.docx ,              10 ,              10 ,                9 ,               10
researchpaper15.docx ,              10 ,              10 ,                9 ,                9
researchpaper16.docx ,              10 ,              10 ,                9 ,                9
researchpaper17.docx ,              10 ,              10 ,                9 ,                9
researchpaper18.docx ,              10 ,              10 ,               10 ,                9
researchpaper19.docx ,              10 ,              10 ,                9 ,               10
researchpaper2.docx  ,              10 ,              10 ,                9 ,                9
researchpaper20.docx ,              10 ,              10 ,                9 ,                9
researchpaper21.docx ,              10 ,              10 ,                9 ,                9
researchpaper22.docx ,              10 ,              10 ,                9 ,                9
researchpaper23.docx ,              10 ,              10 ,                9 ,                9
researchpaper24.docx ,              10 ,              10 ,                8 ,                8
researchpaper25.docx ,              10 ,              10 ,                9 ,                9
researchpaper26.docx ,              10 ,              10 ,               10 ,                9
researchpaper27.docx ,              10 ,              10 ,                9 ,                9
researchpaper28.docx ,              10 ,              10 ,                9 ,                8
researchpaper29.docx ,              10 ,              10 ,                9 ,               10
researchpaper3.docx  ,              10 ,              10 ,                9 ,                9
researchpaper30.docx ,              10 ,              10 ,               10 ,                9
researchpaper31.docx ,              10 ,              10 ,                9 ,                9
researchpaper32.docx ,              10 ,              10 ,               10 ,                9
researchpaper33.docx ,              10 ,              10 ,                9 ,                9
researchpaper34.docx ,              10 ,              10 ,                9 ,                9
researchpaper35.docx ,              10 ,              10 ,                9 ,                9
researchpaper36.docx ,              10 ,              10 ,               10 ,                9
researchpaper37.docx ,               9 ,              10 ,                8 ,                9
researchpaper38.docx ,              10 ,              10 ,                9 ,                7
researchpaper39.docx ,              10 ,              10 ,                9 ,                9
researchpaper4.docx  ,              10 ,              10 ,                9 ,               10
researchpaper40.docx ,              10 ,              10 ,                8 ,                9
researchpaper41.docx ,              10 ,              10 ,                9 ,                9
researchpaper42.docx ,               3 ,               6 ,                3 ,                4
researchpaper43.docx ,              10 ,              10 ,               10 ,                9
researchpaper44.docx ,              10 ,              10 ,               10 ,               10
researchpaper45.docx ,              10 ,              10 ,                9 ,                9
researchpaper46.docx ,              10 ,              10 ,               10 ,                9
researchpaper47.docx ,              10 ,              10 ,                9 ,                9
researchpaper48.docx ,              10 ,              10 ,                9 ,                9
researchpaper49.docx ,              10 ,               9 ,                8 ,                9
researchpaper5.docx  ,              10 ,              10 ,               10 ,                9
researchpaper50.docx ,              10 ,              10 ,                9 ,                9
researchpaper51.docx ,               8 ,               9 ,                7 ,                7
researchpaper52.docx ,              10 ,              10 ,                9 ,                9
researchpaper53.docx ,              10 ,              10 ,                9 ,                9
researchpaper54.docx ,              10 ,              10 ,                9 ,                9
researchpaper55.docx ,              10 ,              10 ,                9 ,                9
researchpaper56.docx ,              10 ,              10 ,                9 ,                9
researchpaper57.docx ,              10 ,              10 ,                8 ,                9
researchpaper58.docx ,              10 ,              10 ,               10 ,                9
researchpaper59.docx ,              10 ,              10 ,                9 ,                9
researchpaper6.docx  ,              10 ,              10 ,                7 ,                9
researchpaper60.docx ,              10 ,              10 ,               10 ,                9
researchpaper61.docx ,              10 ,              10 ,                9 ,                9
researchpaper62.docx ,              10 ,              10 ,                9 ,               10
researchpaper63.docx ,              10 ,              10 ,               10 ,               10
researchpaper64.docx ,              10 ,              10 ,                8 ,                9
researchpaper65.docx ,              10 ,              10 ,                9 ,               10
researchpaper66.docx ,              10 ,              10 ,                9 ,                9
researchpaper67.docx ,              10 ,              10 ,               10 ,                9
researchpaper68.docx ,              10 ,              10 ,                9 ,                9
researchpaper69.docx ,              10 ,              10 ,                9 ,                9
researchpaper7.docx  ,              10 ,              10 ,                6 ,                9
researchpaper70.docx ,              10 ,              10 ,                9 ,                9
researchpaper71.docx ,              10 ,              10 ,                8 ,                9
researchpaper72.docx ,              10 ,              10 ,               10 ,                9
researchpaper73.docx ,              10 ,              10 ,               10 ,               10
researchpaper74.docx ,              10 ,              10 ,               10 ,               10
researchpaper75.docx ,              10 ,              10 ,                9 ,                9
researchpaper76.docx ,              10 ,              10 ,                9 ,               10
researchpaper77.docx ,              10 ,              10 ,                9 ,                9
researchpaper78.docx ,               8 ,              10 ,                8 ,                8
researchpaper79.docx ,              10 ,              10 ,                8 ,               10
researchpaper8.docx  ,              10 ,              10 ,                9 ,               10
researchpaper80.docx ,              10 ,              10 ,                9 ,                9
researchpaper81.docx ,              10 ,              10 ,                9 ,               10
researchpaper82.docx ,              10 ,              10 ,                9 ,                9
researchpaper83.docx ,              10 ,              10 ,                9 ,                9
researchpaper84.docx ,              10 ,              10 ,                9 ,                9
researchpaper85.docx ,              10 ,              10 ,                9 ,                9
researchpaper86.docx ,              10 ,               6 ,                3 ,                6
researchpaper87.docx ,              10 ,              10 ,               10 ,                9
researchpaper88.docx ,              10 ,              10 ,               10 ,                9
researchpaper89.docx ,              10 ,              10 ,                9 ,               10
researchpaper9.docx  ,              10 ,              10 ,                9 ,                8
researchpaper90.docx ,              10 ,              10 ,                9 ,                6
researchpaper91.docx ,              10 ,              10 ,                4 ,                8
researchpaper92.docx ,              10 ,              10 ,                9 ,               10
researchpaper93.docx ,              10 ,              10 ,                8 ,                7
researchpaper94.docx ,              10 ,              10 ,                9 ,                9
researchpaper95.docx ,              10 ,              10 ,               10 ,                8
researchpaper96.docx ,              10 ,              10 ,                9 ,                9
researchpaper97.docx ,              10 ,              10 ,                9 ,                9
researchpaper98.docx ,              10 ,              10 ,                9 ,                9
researchpaper99.docx ,              10 ,              10 ,                9 ,                9
